pair,symbol_x,symbol_y,pvalue_1y,beta_1y,halflife_1y,pvalue_2y,beta_2y,halflife_2y,pvalue_3y,beta_3y,halflife_3y,pvalue_4y,beta_4y,halflife_4y,pvalue_5y,beta_5y,halflife_5y,volatility_x,volatility_y,volatility_period,r_squared_5y,residual_mean,residual_std,residual_skew,residual_kurt,jarque_bera_pvalue
AU-SF,AU,SF,0.008871534686276075,-0.502611,9.126697124022682,0.0008406749431064471,-0.425979,15.540963681597619,5.668430148043918e-05,-0.495947,15.901806179522488,1.8035710842366675e-05,-0.680031,41.19899630819625,0.0006532191336066,-0.524756,63.92049343270931,0.13940118881903446,0.2919390138344788,all available data,0.39444656575911763,-9.933218269084353e-14,0.14755582550125038,0.7560446811660706,4.34458083750782,5.6317715487561275e-242
HC-SM,HC,SM,0.00896069649940705,0.920247,11.525018436027885,0.03945324497477336,0.699638,52.003354949505706,0.013248746343013014,0.770473,44.751285945909544,4.874051853830922e-05,0.724465,36.21434601762221,0.0005130053452774889,0.590483,47.11441616341477,0.2211169537350894,0.2723224052101931,all available data,0.5157160641695464,-1.3913667396356311e-13,0.09353395907104765,0.8235730776378454,1.7759166517202765,1.3037281264865517e-67
SS-AG,SS,AG,0.00935650287957103,-1.235854,13.044773144151483,0.013881769682008046,-1.906164,28.08115018472866,0.0008074325611902792,-2.112283,23.820604313921336,0.0039382901812986945,-1.330598,40.080991315661166,0.001194337470566313,-1.091552,44.757058141997454,0.21703405908514983,0.2813219673266603,all available data,0.42314380049598044,-1.3446739312856816e-13,0.159152384492702,-0.30414950748474023,-0.14958784626958632,3.3612563294193146e-05
PB-NI,PB,NI,0.00974909838823785,0.625298,8.28164092770584,0.013028646961621627,-0.048227,41.46503302490497,0.02502507691300668,-1.701338,44.60933348148855,0.0017283447329147494,-1.685267,35.68337100360512,0.015075959486837051,-0.703784,67.36972450903728,0.15357745304054454,0.3342078345941181,all available data,0.05526228258269683,2.0110051190429313e-13,0.18608525900522047,0.4479279349234678,-0.1984547176476279,2.5215481280545344e-10
AU-I,AU,I,0.010438997634539692,-0.085352,13.074146185413362,0.003620852483322429,-0.355671,20.804343028893708,0.003479383873769445,-0.065871,34.354700270983166,0.0003637658775215485,-0.013062,30.923677599376063,0.001959436544760293,-0.133192,46.422761964050636,0.13940118881903446,0.37454281023994035,all available data,0.044842341820015785,6.905234761414624e-15,0.13950441856574838,-0.023407780305529445,0.4970924017752285,0.001438823510069678
AG-I,AG,I,0.011421034241356995,0.039215,13.593134679613387,0.0029434143448176663,-0.378817,19.939831162346596,0.004805867919512053,-0.005822,36.06621255551174,0.0003451704466033506,0.036942,30.85679895619893,0.0027526425471016613,-0.008593,49.234948673797355,0.2813219673266603,0.37454281023994035,all available data,0.00015911192779960448,-3.97480989921037e-14,0.1427302014841619,0.3328952146299829,0.33656737815707594,4.520127213143012e-07
SS-SM,SS,SM,0.012255466537987402,1.171064,10.769627511546327,0.021597036578527955,1.09925,35.68743538466985,0.006479036743696308,0.766862,34.85607228532455,7.083232825049986e-05,0.913116,21.763724003579796,1.1901964973157038e-05,0.895386,21.653396913391187,0.21703405908514983,0.2723224052101931,all available data,0.6920534045261009,-2.410995565451375e-13,0.07458594374388428,1.6892742769995326,4.156232905999069,0.0
CU-I,CU,I,0.013179304149093317,0.133251,14.170708842709084,0.006454197125188081,-0.674321,23.71946933436443,0.007374210961454008,0.118704,38.86626969326984,0.0003992495720732349,0.161887,31.770584144160154,0.0023866292522230744,-0.045733,48.28874723607766,0.17816168597538068,0.37454281023994035,all available data,0.0015154098048034692,7.119525427754972e-15,0.14263336089372516,0.3445097356989702,0.3421182937987455,1.7923645564476343e-07
PB-I,PB,I,0.01585131828725021,0.74063,14.667440058774469,0.030030464121247505,-0.366876,37.019272539352635,0.005881093973549959,0.176118,37.16457909766167,0.0003465773535756899,0.285595,30.145844934271505,0.0023672771582285406,-0.125214,48.27311405855919,0.15357745304054454,0.37454281023994035,all available data,0.0031467954622396155,-3.022457064169372e-13,0.14251679167219267,0.28126435980974734,0.32524553837050485,1.5365903810197995e-05
SN-SF,SN,SF,0.020140862231676625,-0.658332,17.32918457679561,0.039798568185446075,-0.43048,39.2196728603765,0.001482000326930518,-0.632077,24.859208910405577,0.044630223830185535,0.128893,196.4593074596474,0.035553414351789735,0.270354,166.72418668213476,0.2895085948655372,0.2919390138344788,all available data,0.10246226183762808,3.284286423068907e-14,0.17964142169491998,0.6216059794382136,1.8685353787562669,3.776032817340399e-58
RB-I,RB,I,0.02017211030730056,1.012951,15.306522460426574,0.0014078714167884516,1.014981,18.83461263346049,0.0037104831209670594,0.621215,40.89891465691114,0.001081843164072691,0.2114,35.608193207978466,0.0059739853350816085,0.40818,56.462878923624274,0.22741934347301562,0.37454281023994035,all available data,0.20696810269985344,-9.866111455151455e-14,0.12711469514699797,-0.6772855914784895,0.8413864628596195,1.0269755467869533e-29
SS-I,SS,I,0.020812618782729508,0.528596,16.112258133482605,0.032454829959181995,0.779267,40.50384505346587,0.004989083133553737,0.01455,36.376658376518584,0.000342865903727591,-0.010234,30.74454255224436,0.002482873066329817,-0.075705,47.83096882182501,0.21703405908514983,0.37454281023994035,all available data,0.004386328039624576,1.018106234239115e-13,0.14242815818311264,0.3955095523639022,0.27773645183226403,9.713200804815361e-09
AU-HC,AU,HC,0.022070256336782515,-0.173873,16.140254963431666,0.0054748615581719905,-0.391423,21.67549183725538,0.001393220580605961,-0.303438,25.75991248306432,0.01418550556833016,-0.525167,62.714365370120795,0.006005798052836177,-0.532942,66.697566399811,0.13940118881903446,0.2211169537350894,all available data,0.5474674441430876,-3.413142784276196e-14,0.10996194042392657,0.43152733483086686,0.17690313615518116,1.4178138935694544e-09
PB-SS,PB,SS,0.023883043982465473,0.347098,20.69869478635129,0.03564954290299653,-0.055899,51.74642797879155,0.020166253008456987,-0.828357,46.24845418713583,0.011090957516648663,-1.354084,37.29492234263846,0.004167870882969561,-0.833933,49.48743629395348,0.15357745304054454,0.21703405908514983,all available data,0.18237555736925593,3.655122060398941e-13,0.11291605183771888,0.5428901512242793,-0.18999790921298487,1.4077137665806374e-14
NI-I,NI,I,0.02469590718621291,0.523978,16.645018756000457,0.037511535383613855,0.34416,42.17130491645473,0.00491954722491799,-0.007692,36.09875701893286,0.00036259156303777965,0.035815,31.10391681273985,0.0018226265190044468,-0.083522,46.26298755291481,0.3342078345941181,0.37454281023994035,all available data,0.012549246745230613,5.4164785531553666e-15,0.14184308066036663,0.28940473306429837,0.20022407399667141,5.292474576934401e-05
SS-SF,SS,SF,0.026030431208492553,1.776143,13.162631956744086,0.007981883662066322,1.322798,17.981162099399462,2.925137650819297e-05,1.240209,14.227632752092992,2.3144439454375075e-07,1.346593,14.640941842647742,1.1693733993271141e-06,1.365845,17.75614639636821,0.21703405908514983,0.2919390138344788,all available data,0.8090959156856092,1.039450712452226e-13,0.08284908844280443,0.857317927415739,5.718436047672348,0.0
RB-AG,RB,AG,0.026938506693709403,-0.510931,20.122066412235313,0.00500431411453642,-1.445446,21.813154865514562,0.002192645232969021,-1.875495,30.31785791098774,0.02865385430048692,-1.008421,71.86756989884266,0.006046255242974725,-0.819308,66.06344316614117,0.22741934347301562,0.2813219673266603,all available data,0.38693374370099975,2.3837017016332885e-14,0.16407147183393694,-0.3650045620722718,-0.3663231696336502,2.482208313373293e-08
