交易序号,配对,品种X,品种Y,方向,开仓日期,开仓Z值,开仓Beta,开仓原因,平仓日期,平仓Z值,平仓Beta,平仓原因,信号平仓原因,持仓天数,毛盈亏,手续费,净盈亏,收益率,保证金
61,AG-SF,AG,SF,long,2025-02-14,-3.0326,0.976991,z_threshold,2025-03-17,N/A,N/A,time_stop,,31,32350.59,594.61,31755.98,17.70%,179409.88
62,RB-SF,RB,SF,long,2025-02-20,-2.3099,1.080038,z_threshold,2025-03-24,N/A,N/A,time_stop,,32,-7560.84,610.13,-8170.97,-4.38%,186694.50
63,SS-SF,SS,SF,long,2025-02-20,-2.1113,0.923030,z_threshold,2025-03-24,N/A,N/A,time_stop,,32,31032.96,498.01,30534.95,20.31%,150336.66
64,PB-AL,PB,AL,long,2025-03-19,-2.2445,1.018364,z_threshold,2025-04-03,-0.0625,1.018019,signal,z_threshold,15,-11699.96,414.30,-12114.27,-9.62%,125864.91
65,AG-I,AG,I,long,2025-03-05,-2.2809,0.743355,z_threshold,2025-04-07,N/A,N/A,time_stop,,33,-2792.04,456.95,-3248.99,-2.32%,139757.00
66,SS-HC,SS,HC,long,2025-03-05,-2.0335,0.858705,z_threshold,2025-04-07,N/A,N/A,time_stop,,33,9200.95,515.95,8685.01,5.52%,157378.73
67,PB-AG,PB,AG,short,2025-03-28,2.2761,0.921228,z_threshold,2025-04-07,-0.4571,0.921426,stop_loss,z_threshold,10,-49468.13,564.00,-50032.13,-28.45%,175863.88
68,SS-RB,SS,RB,long,2025-03-10,-2.0551,0.853230,z_threshold,2025-04-09,N/A,N/A,time_stop,,30,-1473.65,577.74,-2051.39,-1.15%,178388.50
69,PB-RB,PB,RB,long,2025-03-10,-2.3181,0.831618,z_threshold,2025-04-09,N/A,N/A,time_stop,,30,76.77,455.41,-378.64,-0.27%,140617.13
70,PB-HC,PB,HC,long,2025-03-10,-2.1021,0.835160,z_threshold,2025-04-09,N/A,N/A,time_stop,,30,-8174.92,586.03,-8760.95,-4.85%,180629.07
