pair,symbol_x,symbol_y,pvalue_1y,beta_1y,halflife_1y,pvalue_2y,beta_2y,halflife_2y,pvalue_3y,beta_3y,halflife_3y,pvalue_4y,beta_4y,halflife_4y,pvalue_5y,beta_5y,halflife_5y,volatility_x,volatility_y,volatility_period,r_squared_5y,residual_mean,residual_std,residual_skew,residual_kurt,jarque_bera_pvalue
HC-SN,HC,SN,0.0014794007576484274,-0.17258,8.752391908752507,0.004357353524490492,-0.793764,21.476151813261282,0.0029029085957400953,-0.974595,31.49553622588367,0.08039256150055235,0.195641,104.63384008987205,0.03942499150014149,0.067333,151.690896778464,0.16749536473919402,0.2425340350822569,2024-01-01 to latest,0.0024034727497499464,3.219999223166803e-13,0.22423636859470528,-0.32541998082695534,-0.6403694831008933,3.1334213868855885e-10
AL-PB,AL,PB,0.0017595412661817421,0.091647,7.610893064502195,0.022214432365176985,0.700491,32.3894560956247,0.00348890060651938,0.997649,22.117936817407156,0.03963658762561145,0.234975,72.16327633586377,0.006623681437057072,0.243654,53.68020884023147,0.12062644624499681,0.14042867283906768,2024-01-01 to latest,0.1951120619654375,-1.7737627944919198e-13,0.057371839875575176,0.720556478359526,0.9766550469802513,2.8168249344953937e-35
SS-PB,SS,PB,0.0019852639338269577,0.138169,7.530813117511723,0.03557284503716556,-0.043909,41.967957586592185,0.008592599236208599,-0.422093,38.32317399362208,0.0034947206077416714,-0.305601,29.476784527747064,0.0006117295001284951,-0.218693,34.496692124950386,0.12197395517172488,0.14042867283906768,2024-01-01 to latest,0.18237555736925626,-4.213913169021705e-14,0.05782398272033047,0.5864821052009679,1.3593391141794848,1.7769385226866392e-37
SS-ZN,SS,ZN,0.0021397826010098805,0.928547,15.009731798362756,0.02398627875675193,-0.405347,35.03191958946438,0.022586492073618653,0.030249,51.06310257762705,0.00474749967681342,0.21388,45.71181402330158,0.0005122404576704125,0.318686,49.99354233294414,0.12197395517172488,0.1728653045555482,2024-01-01 to latest,0.18541591397851043,8.717823641110579e-14,0.0834135542174439,-0.3735535802873617,0.11912849925675406,2.9850814924704674e-07
SS-CU,SS,CU,0.0027465227553903795,-0.197743,10.416592189449382,0.025310556673682878,-0.522768,35.05274716058802,0.0005308821117389508,-0.687244,24.33936088728971,0.013018399091671372,-0.239217,51.40379969114349,0.002572453944527273,-0.021093,93.56508902329873,0.12197395517172488,0.15251240993423965,2024-01-01 to latest,0.00046997398788561906,-2.678633329254346e-14,0.12147342102539023,-1.0537089548328473,0.7808696613770385,2.6170139397171113e-58
SM-I,SM,I,0.002882667378858566,0.68258,9.260512057493889,0.03369967128814795,0.434084,39.19220453621281,0.00421619357756266,0.248868,36.715042125439105,0.0003193019180930624,-0.027062,30.40387559872934,0.002860328137490853,0.004289,49.51372781207329,0.2694723267212363,0.2759772329574849,2024-01-01 to latest,1.6309010439807814e-05,1.1575643442021886e-13,0.14274039388661514,0.34161981242163386,0.3314337352056369,2.6661810335664676e-07
AU-SM,AU,SM,0.0029153625957132755,-0.295045,9.774330330156639,0.012569767132590282,-0.266747,44.11841925485958,0.0012333666501855869,-0.278145,37.24355921234071,0.00013864856688576113,-0.437415,40.52072366001517,0.0002291899975987029,-0.352047,49.99343732104422,0.14883455332099976,0.2694723267212363,2024-01-01 to latest,0.353343841699146,-4.547050566760022e-14,0.10808265257875281,1.2957426146343825,3.196772008853375,8.618405368818353e-194
HC-I,HC,I,0.0034233297992068545,1.014575,10.827090734760898,0.0015492915729195447,1.018742,19.843431542645174,0.003180865973277352,0.736555,39.39418414324748,0.0010579397618758419,0.20798,35.20962850876267,0.00571466595636427,0.408372,53.820921305225895,0.16749536473919402,0.2759772329574849,2024-01-01 to latest,0.2186983229222813,1.862862597865012e-13,0.12617107710658673,-0.7635307851609294,1.095063828974224,5.557180077877247e-41
NI-SF,NI,SF,0.0037324328924364923,1.518164,9.248669698790822,0.021301170677367882,0.729829,24.90852159702643,0.002631467490538129,0.605699,20.74483196369114,0.006971888569172829,0.631148,80.1204794344068,0.005792302497388508,0.631423,74.53862332561452,0.20628958609099912,0.21467660111504655,2024-01-01 to latest,0.406437164689214,3.972272246582655e-14,0.146087640497514,2.5327954038639975,9.64094957501426,0.0
PB-SN,PB,SN,0.003945972680806493,0.253202,10.981547774575033,0.033694001046303816,1.315641,35.3105358515853,0.0037177340952115616,1.777068,29.33142894601645,0.0566006194318521,0.803896,106.4418927044733,0.04806472970361298,1.708716,117.79753028912491,0.14042867283906768,0.2425340350822569,2024-01-01 to latest,0.23688897633984496,7.746593490133414e-13,0.19612025575565495,0.48250104539439287,0.46077699176085485,9.190303203987177e-14
