trade_id,pair,symbol_x,symbol_y,direction,beta,z_score_open,open_date,close_date,holding_days,lots_x,lots_y,theoretical_ratio,actual_ratio,open_price_x,open_price_y,close_price_x,close_price_y,margin_occupied,gross_pnl,y_pnl,x_pnl,open_commission,close_commission,net_pnl,return_on_margin,close_reason
185,NI-I,NI,I,open_short,0.0061873574078070365,2.6248909867863115,2025-04-07,2025-04-10,3,1,1,0.0061873574078070365,1.0,118813.736,733.46,121619.378,719.002,23073.56832,4251.442000000001,1445.8000000000084,2805.6419999999925,38.4319472,38.703915599999995,4174.306137200001,0.18091289909336405,signal
186,SS-SF,SS,SF,open_short,0.44907263894361976,2.683230147339072,2025-04-07,2025-04-10,3,4,9,0.44907263894361976,0.4444444444444444,13015.365,5855.701,12742.418,5934.793,62854.06139999999,-9018.079999999987,-3559.139999999984,-5458.940000000002,104.762769,104.38280900000001,-9227.225577999989,-0.14680396735667411,signal
187,RB-AG,RB,AG,open_long,2.575215631310488,-3.1662977897050855,2025-04-07,2025-04-10,3,18,7,2.575215631310488,2.5714285714285716,3117.76,7647.33,3119.423,7998.585,163726.974,36582.435000000085,36881.77500000001,-299.3399999999201,272.83329,280.269513,36029.33219700008,0.22005739993093676,signal
188,AU-AG,AU,AG,open_long,12.00282592505171,-2.9964874912779256,2025-04-03,2025-04-11,8,12,1,12.00282592505171,12.0,739.9680000000001,8313.228,758.305,7994.141,1080728.3304,-224830.3049999985,-4786.304999999993,-220043.99999999852,1800.8628840000003,1843.9144230000002,-228475.08230699852,-0.21140843251738864,stop_loss
189,RB-I,RB,I,open_long,0.2299039844451639,-2.991135113723703,2025-04-08,2025-04-11,3,2,9,0.2299039844451639,0.2222222222222222,3077.268,708.872,3111.609,715.875,83788.81920000001,5615.880000000041,6302.700000000039,-686.8199999999979,139.906032,141.30393600000002,5334.670032000041,0.06366804166635207,signal
190,SS-ZN,SS,ZN,open_short,1.7350558294057994,2.2167458209663247,2025-04-10,2025-04-15,5,7,4,1.7350558294057994,1.75,12772.418,22502.776,12856.63,22358.249,107623.818,5837.960000000021,2890.5400000000373,2947.4199999999837,179.41803,179.429406,5479.112564000021,0.05090985123757662,signal
191,SS-AG,SS,AG,open_short,0.6203840789287859,2.344172108117406,2025-04-10,2025-04-16,6,5,8,0.6203840789287859,0.625,12772.418,7998.585,12818.423,8261.322,153495.07799999998,-30378.314999999984,-31528.44000000001,1150.1250000000255,255.82813,262.36384300000003,-30896.506972999985,-0.2012866300051653,stop_loss
192,RB-NI,RB,NI,open_long,6.567570408422083,-2.5939890193746704,2025-04-07,2025-04-17,10,46,7,6.567570408422083,6.571428571428571,3117.76,118813.736,3080.13,126169.895,272044.29024,68802.91300000004,51493.113,17309.80000000005,453.1731504000001,460.009813,67889.73003660004,0.2495539604110312,signal
193,SF-AG,SF,AG,open_short,1.3882897461166501,2.1300221898896754,2025-04-16,2025-04-22,6,7,5,1.3882897461166501,1.4,5738.887,8255.322,5701.587,8206.786,98403.0234,2334.70000000003,3640.2000000000044,-1305.4999999999745,164.00203900000002,163.012899,2007.6850620000298,0.020402676590931146,signal
194,SF-I,SF,I,open_short,0.12954245913398194,2.6691001566025467,2025-05-06,2025-05-07,1,1,8,0.12954245913398194,0.125,5454.282,705.055,5462.619,710.78,71098.2492,-4538.3150000000205,-4580.000000000018,41.68499999999767,118.26308200000001,119.187419,-4775.765501000021,-0.06717135168217364,signal
195,SS-SF,SS,SF,open_long,0.4293785397904151,-3.180745914133883,2025-05-06,2025-05-07,1,3,7,0.4293785397904151,0.42857142857142855,12751.302,5454.282,12762.542,5462.619,45862.128,123.19499999998698,291.7949999999837,-168.59999999999673,76.43388,76.52595899999999,-29.764839000013012,-0.0006490069322560221,signal
196,SF-I,SF,I,open_long,0.12656391968822922,-2.10350174331197,2025-05-08,2025-05-09,1,1,8,0.12656391968822922,0.125,5487.352,696.156,5506.731,695.51,69982.98719999999,-613.6949999999661,-516.7999999999665,-96.89499999999953,116.872312,116.78833100000001,-847.355642999966,-0.012108023348279796,signal
197,RB-SF,RB,SF,open_long,1.8084145725733134,-2.481577052431321,2025-05-06,2025-05-13,7,9,5,1.8084145725733134,1.8,3074.067,5454.282,3082.892,5564.849,49577.169599999994,1969.9250000000166,2764.175,-794.2499999999836,82.604616,83.31630100000001,1804.0040830000164,0.03638779901222954,signal
198,PB-I,PB,I,open_short,0.043410722013914514,2.0277170584303463,2025-05-14,2025-05-15,1,1,1,0.043410722013914514,1.0,16952.312,733.846,16956.033,736.161,18986.5392,-212.89500000000544,-231.4999999999941,18.60499999998865,31.62923200000001,31.679253,-276.20348500000546,-0.014547331774924283,signal
199,RB-AG,RB,AG,open_long,2.6488608322697766,-2.2506942329416133,2025-05-15,2025-05-19,4,8,3,2.6488608322697766,2.6666666666666665,3116.231,8030.098,3073.944,8149.12,73290.9468,8738.950000000019,5355.989999999997,3382.960000000021,122.13057800000001,122.52518400000001,8494.294238000019,0.11589827405531644,signal
200,HC-SM,HC,SM,open_short,1.8162513614358846,2.6258244228462813,2025-05-22,2025-05-23,1,9,5,1.8162513614358846,1.8,3212.941,5985.169,3187.142,5720.376,52640.8698,4297.914999999994,6619.824999999992,-2321.909999999998,87.758783,85.97043599999999,4124.185780999994,0.07834569977033308,signal
201,SM-I,SM,I,open_long,0.12115355117935109,-2.3832539619273816,2025-05-22,2025-05-26,4,1,8,0.12115355117935109,0.125,5985.169,726.38,5669.648,702.073,73183.1814,-17867.995000000014,-19445.600000000013,1577.6049999999987,122.205969,118.00132800000002,-18108.20229700001,-0.24743666441645035,stop_loss
202,RB-SM,RB,SM,open_short,1.8984645785272782,2.7732428904462463,2025-05-22,2025-05-26,4,19,10,1.8984645785272782,1.9,3066.354,5985.169,3003.862,5669.648,105791.4852,3902.570000000038,15776.049999999987,-11873.479999999949,176.373142,170.84323600000002,3555.353622000038,0.03360718128948281,signal
203,CU-SM,CU,SM,open_short,0.07732532955138262,2.379391869306301,2025-05-22,2025-05-27,5,1,10,0.07732532955138262,0.1,77466.702,5985.169,77638.326,5619.226,82409.03520000001,19155.26999999999,18297.15000000001,858.1199999999808,137.318392,133.83058599999998,18884.12102199999,0.22915109946585063,signal
204,SF-SM,SF,SM,open_short,1.0537260960475745,3.3105652266538272,2025-05-22,2025-05-27,5,11,10,1.0537260960475745,1.1,5586.346,5985.169,5394.191,5619.226,72777.29759999999,7728.625000000022,18297.15000000001,-10568.524999999987,121.301496,115.52836099999999,7491.795143000022,0.10294137581442737,signal
205,AL-SM,AL,SM,open_short,0.29542709161776476,2.855247767680617,2025-05-22,2025-05-27,5,3,10,0.29542709161776476,0.3,20195.502,5985.169,19990.498,5619.226,72271.91760000002,15222.089999999997,18297.15000000001,-3075.060000000012,120.438196,116.16375400000001,14985.488049999998,0.2073486984659723,signal
206,ZN-SM,ZN,SM,open_short,0.2676337581880177,3.122935018544487,2025-05-22,2025-05-28,6,1,4,0.2676337581880177,0.25,22279.686,5985.169,22159.194,5607.67,27737.6172,6947.519999999986,7549.979999999996,-602.46000000001,46.220362,44.589874,6856.709763999986,0.24719894699534556,signal
207,PB-SM,PB,SM,open_short,0.35589409174513875,3.8040915250470806,2025-05-22,2025-05-28,6,3,8,0.35589409174513875,0.375,16694.581,5985.169,16687.064,5607.67,58780.85699999999,14987.204999999994,15099.959999999992,-112.75499999999738,97.965095,94.922552,14794.317352999995,0.25168597581011787,signal
208,SF-I,SF,I,open_short,0.13336711139717036,2.5710931074601016,2025-05-29,2025-05-30,1,1,8,0.13336711139717036,0.125,5269.81,701.308,5213.252,699.359,70627.85399999999,1276.4099999999644,1559.1999999999643,-282.78999999999996,117.47909000000001,117.11069200000001,1041.8202179999644,0.014750840624436422,signal
209,SS-SM,SS,SM,open_short,0.4605635566284034,2.9165435064474727,2025-05-22,2025-06-03,12,4,9,0.4605635566284034,0.4444444444444444,12906.868,5985.169,12630.845,5425.451,63292.7958,19666.849999999973,25187.309999999994,-5520.460000000021,105.493993,99.352439,19462.003567999975,0.3074916081997436,signal
210,SS-AG,SS,AG,open_short,0.6637123990386574,2.4363949441087778,2025-06-03,2025-06-04,1,2,3,0.6637123990386574,0.6666666666666666,12660.845,8477.413,12715.636,8489.181,60969.2442,18.35000000000946,-529.5600000000013,547.9100000000108,101.618407,101.83390100000001,-185.10230799999056,-0.0030359947942407094,signal
211,PB-AG,PB,AG,open_short,0.5079452371707225,2.3989271160458623,2025-06-03,2025-06-04,1,1,2,0.5079452371707225,0.5,16582.326,8477.413,16650.51,8489.181,40469.8824,-12.120000000013533,-353.0400000000009,340.91999999998734,67.446804,67.585596,-147.15240000001353,-0.003636096555595959,signal
