date,pair,signal,z_score,beta,S,R,delta,quality,days_held,phase,symbol_x,symbol_y,initial_beta,pvalue_1y,pvalue_5y
2024-07-24,I-SM,hold,1.048097195848176,4.0,15232527.52750373,14978990.225887293,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-25,I-SM,hold,1.0478268181068162,4.0,15180286.324545324,14930270.839998066,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-26,I-SM,hold,1.0061285264840343,4.0,15141295.717767341,14816154.645211073,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-29,I-SM,hold,0.9687850074225569,4.0,15028123.918249711,14646517.998144023,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-30,I-SM,hold,0.9523163149579714,4.0,14846080.260631273,14454391.15616472,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-31,I-SM,hold,0.9481696109235316,4.0,14661407.053828074,14259357.68902288,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-01,I-SM,hold,0.9288906464370996,4.0,14476886.995224118,14040847.723690607,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-02,I-SM,hold,0.934397032074247,4.0,14265780.819613377,13833623.384420147,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-05,I-SM,hold,0.9436823710499922,4.0,14058018.779452708,13642084.043036213,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-06,I-SM,hold,0.9266829894732762,4.0,13860224.642251559,13430578.758678725,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-07,I-SM,hold,0.9360299513001371,4.0,13642347.695366003,13234335.362791486,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-08,I-SM,hold,0.9229334117092479,4.0,13436315.842505854,13023977.154602153,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-09,I-SM,hold,0.9527833486065996,4.0,13233289.003842616,12855208.067198839,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-12,I-SM,hold,0.9529140771131689,4.0,13059088.595421879,12688665.98720331,0.99,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-13,I-SM,hold,0.9819192466769566,4.0,12891397.31887318,12561247.43444784,0.99,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-14,I-SM,hold,1.0010614933203255,4.0,12750995.166927405,12459254.654444505,0.99,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-15,I-SM,hold,0.9960899703165815,4.0,12641923.709305424,12351405.451032951,0.99,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-16,I-SM,hold,1.012440270164853,4.0,12529526.265486913,12265324.666821739,0.99,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-19,I-SM,hold,0.9723948228185282,4.0,12449099.343478566,12129739.800812818,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-20,I-SM,hold,0.976265258921056,4.0,12310710.353566883,12000351.795073524,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-21,I-SM,hold,0.9668257950101421,4.0,12195496.661685249,11861718.770368228,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
