交易序号,配对,品种X,品种Y,方向,开仓日期,开仓Z值,开仓Beta,开仓价格X,开仓价格Y,平仓日期,平仓Z值,平仓价格X,平仓价格Y,平仓原因,手数X,手数Y,乘数X,乘数Y,持仓天数,毛盈亏,手续费,净盈亏,收益率,保证金
67,PB-AG,PB,AG,short,2025-03-28,2.2761,0.921228,17453.90,8526.40,2025-04-07,-0.4571,16662.44,7644.33,stop_loss,8,6,5,15,10,-49468.13,564.00,-50032.13,-28.45%,175863.88
68,SS-RB,SS,RB,long,2025-03-10,-2.0551,0.853230,13548.44,3236.59,2025-04-09,N/A,12719.41,3064.68,time_stop,10,25,5,10,30,-1473.65,577.74,-2051.39,-1.15%,178388.50
69,PB-RB,PB,RB,long,2025-03-10,-2.3181,0.831618,17483.02,3236.59,2025-04-09,N/A,16409.49,3064.68,time_stop,6,20,5,10,30,76.77,455.41,-378.64,-0.27%,140617.13
70,PB-HC,PB,HC,long,2025-03-10,-2.1021,0.835160,17483.02,3358.01,2025-04-09,N/A,16409.49,3202.15,time_stop,8,24,5,10,30,-8174.92,586.03,-8760.95,-4.85%,180629.07
71,SS-NI,SS,NI,long,2025-04-07,-3.1253,1.237401,13000.36,118783.74,2025-04-09,-0.4357,12719.41,119061.55,signal,9,4,5,1,2,-15344.32,421.75,-15766.08,-12.39%,127218.16
72,SN-I,SN,I,long,2025-03-17,-2.0027,0.535328,283531.63,761.11,2025-04-17,N/A,257610.56,715.36,time_stop,2,14,1,100,31,7876.67,629.87,7246.80,3.70%,195913.40
73,RB-SM,RB,SM,long,2025-05-06,-2.9295,1.079777,3077.07,5546.82,2025-05-08,-0.2744,3053.33,5746.64,stop_loss,27,27,10,5,2,-36623.07,635.97,-37259.04,-19.66%,189555.50
74,SS-SM,SS,SM,long,2025-05-06,-2.3365,0.919942,12766.30,5546.82,2025-05-08,N/A,12752.85,5746.64,stop_loss,12,30,5,5,2,-34379.34,645.03,-35024.37,-18.26%,191760.19
75,AL-SM,AL,SM,long,2025-05-06,-2.0267,0.879305,19740.53,5546.82,2025-05-08,N/A,19435.22,5746.64,stop_loss,7,28,5,5,2,-41389.81,590.45,-41980.26,-23.84%,176096.84
76,HC-SM,HC,SM,long,2025-05-06,-3.0188,1.074937,3195.11,5546.82,2025-05-09,-0.1558,3156.70,5745.39,stop_loss,18,20,10,5,3,-29049.94,454.51,-29504.45,-21.76%,135576.19
77,SM-SF,SM,SF,long,2025-05-22,-2.0468,0.997242,5991.17,5580.35,2025-05-26,-0.4501,5663.65,5459.38,signal,18,20,5,5,4,-19660.09,430.58,-20090.67,-15.26%,131668.78
78,PB-NI,PB,NI,long,2025-05-28,-2.2588,1.205178,16702.06,120031.94,2025-05-30,-0.4812,16609.79,121167.77,signal,7,4,5,1,2,-9062.95,426.14,-9489.09,-7.43%,127764.00
79,RB-SF,RB,SF,long,2025-05-06,-2.5732,1.079045,3077.07,5448.28,2025-06-06,N/A,2973.08,5127.73,time_stop,28,28,10,5,31,12402.32,634.94,11767.38,6.04%,194920.59
80,ZN-SM,ZN,SM,long,2025-05-29,-2.2487,0.864946,22423.01,5527.39,2025-06-09,-0.4056,21805.46,5555.00,signal,6,27,5,5,11,-24773.06,564.60,-25337.65,-14.88%,170266.62
81,ZN-I,ZN,I,long,2025-05-27,-2.3723,0.657378,22312.56,695.38,2025-06-13,-0.4588,21608.79,697.38,signal,4,10,5,100,17,-19675.46,454.24,-20129.70,-14.69%,136995.99
82,SS-I,SS,I,long,2025-05-27,-2.0189,0.695885,12868.03,695.38,2025-06-23,-0.0413,12373.98,699.22,stop_loss,9,12,5,100,27,-31789.18,561.88,-32351.07,-19.07%,169622.39
