交易ID,配对,品种X,品种Y,入场日期,出场日期,持仓天数,入场动作,退出动作,Beta,入场Z_Score,出场Z_Score,入场价格X,入场价格Y,出场价格X,出场价格Y,手数X,手数Y,乘数X,乘数Y,保证金,原始盈亏,原始收益率%,触发止损,止损后盈亏,止损后收益率%,入场价差,出场价差
41,CU0-ZN0,CU0,ZN0,2024-10-08,2024-10-09,1,open_short,close_normal,0.3227024962039314,2.308090604888055,-0.1147767354689661,77340.0,25270.0,77530.0,25055.0,3,1,5,5,154374.0,3410.065,2.208963296928239,False,3410.065,2.208963296928239,336.87001847406646,5.516409122184996
42,CU0-ZN0,CU0,ZN0,2024-10-24,2024-10-29,3,open_short,close_normal,0.331451574623355,2.620333989853763,-0.2333514819212874,77030.0,25910.0,76470.0,25025.0,3,1,5,5,154200.0,-4486.435,-2.909490920881972,False,-4486.435,-2.909490920881972,403.2287540016587,-8.19411705019229
43,CU0-ZN0,CU0,ZN0,2025-01-06,2025-01-22,3,open_long,close_normal,0.3361261526511679,-2.3258193117377512,0.059268476613048,73570.0,24505.0,75550.0,24100.0,3,1,5,5,147129.0,-32220.965,-21.89980561276159,True,-22069.35,-15.0,-248.88483512596213,1.236793145773845
44,CU0-ZN0,CU0,ZN0,2025-04-07,2025-04-08,1,open_short,close_normal,0.3020307079531981,4.00602966224762,0.0505045918179325,73670.0,22610.0,73330.0,22100.0,7,2,5,5,336546.0,-7918.42,-2.3528492390341884,False,-7918.42,-2.3528492390341884,383.458666326489,-32.53274744610462
45,CU0-ZN0,CU0,ZN0,2025-07-09,2025-07-14,3,open_short,close_normal,0.280711002492386,2.2059103885451665,-0.2630457379889702,78430.0,22105.0,78370.0,22265.0,7,2,5,5,355932.0,-4886.34,-1.372829641616938,False,-4886.34,-1.372829641616938,112.25740459693408,-23.77634922080688
46,PB0-SS0,PB0,SS0,2024-08-06,2024-09-19,5,open_long,close_timeout,-0.2973301764464554,-2.334505216477901,-1.5519767242569047,17200.0,13915.0,16555.0,13445.0,7,2,5,5,88938.0,-27566.005,-30.994631091322045,True,-13340.7,-15.0,19018.53898752573,17766.28551858759
47,PB0-SS0,PB0,SS0,2025-04-07,2025-05-22,30,open_long,close_timeout,-0.0281684700543817,-2.878156413420435,-1.190082218951244,16645.0,12925.0,16700.0,12865.0,1,1,5,5,17742.0,-84.135,-0.4742137301318904,False,-84.135,-0.4742137301318904,13379.286711106,12824.457190256817
48,ZN0-SF0,ZN0,SF0,2024-08-05,2024-08-27,16,open_short,close_normal,0.3048045405128258,3.057647810411287,0.1688213846655477,22165.0,6986.0,23980.0,6400.0,7,2,5,5,101476.2,69035.213,68.0309402598836,False,69035.213,68.0309402598836,240.57942764090785,-5.839159582814318
49,ZN0-SF0,ZN0,SF0,2024-09-30,2024-10-08,1,open_short,close_normal,0.2621914429582107,2.328127771257258,0.2105014741179664,25135.0,6788.0,25270.0,6638.0,4,1,5,5,64396.8,3234.954,5.02347011031604,False,3234.954,5.02347011031604,207.75095288974623,1.4930604214177947
50,ZN0-SF0,ZN0,SF0,2024-10-25,2024-10-31,4,open_short,close_normal,0.2546159777537092,2.3078607253401326,0.1513813721538313,25045.0,6578.0,25260.0,6566.0,4,1,5,5,64054.8,4145.636,6.472014587509445,False,4145.636,6.472014587509445,210.96207682465865,-10.439600271615744
51,ZN0-SF0,ZN0,SF0,2025-01-15,2025-01-21,4,open_short,close_normal,0.2695968028610036,2.277588814836511,-0.0835812890951029,23610.0,6490.0,24185.0,6468.0,7,2,5,5,106950.0,19984.519,18.68585226741468,False,19984.519,18.68585226741468,134.86343649461924,-0.9892407626539352
52,ZN0-SF0,ZN0,SF0,2025-04-08,2025-04-16,6,open_short,close_normal,0.2609825032435322,2.544527469601664,-0.1652770791721204,22100.0,5860.0,21905.0,5692.0,4,1,5,5,56556.0,-3247.572,-5.742223636749417,False,-3247.572,-5.742223636749417,102.20141586659064,-7.464000914519602
53,ZN0-SF0,ZN0,SF0,2025-05-29,2025-06-06,5,open_long,close_normal,0.2377580808342153,-3.4235110236690818,-0.1821638500233264,22480.0,5232.0,22400.0,5098.0,4,1,5,5,57091.2,740.15,1.2964344767669973,False,740.15,1.2964344767669973,-122.36802836567313,-14.125790753167166
54,ZN0-SF0,ZN0,SF0,2025-06-09,2025-06-11,2,open_short,close_normal,0.2326823725578521,2.291902105148157,-0.0623124503825494,21925.0,5168.0,22125.0,5190.0,4,1,5,5,55720.8,3703.442,6.646426469110278,False,3703.442,6.646426469110278,75.92921725745873,-7.472762391261313
55,ZN0-SF0,ZN0,SF0,2025-07-22,2025-07-30,6,open_short,close_normal,0.2524227645696504,2.391262319527046,-0.0652783526198125,22960.0,5868.0,22655.0,6014.0,4,1,5,5,58624.8,-7024.342,-11.981860918928506,False,-7024.342,-11.981860918928506,82.15966694937015,2.670406893706968
56,ZN0-SF0,ZN0,SF0,2025-07-31,2025-08-05,3,open_long,close_normal,0.2600209920040076,-2.573438499723643,-0.2369141484698538,22330.0,5702.0,22395.0,5710.0,4,1,5,5,57013.2,-1450.312,-2.5438179228669853,False,-1450.312,-2.5438179228669853,-114.16906632954942,-9.935013076291398
57,HC0-SM0,HC0,SM0,2024-12-26,2025-02-17,30,open_long,close_timeout,1.4767653770041702,-2.2967066295025,-1.006433840772124,3425.0,6116.0,3409.0,6392.0,2,3,10,5,19228.8,4395.14,22.85706856382094,False,4395.14,22.85706856382094,1047.648287629704,1077.275560437878
58,HC0-SM0,HC0,SM0,2025-07-22,2025-08-14,17,open_long,close_normal,1.7340591142091917,-2.3196503774161794,-0.2047749301354123,3474.0,6018.0,3435.0,6138.0,3,5,10,5,30560.4,4067.766,13.310578395570738,False,4067.766,13.310578395570738,-17.323540105359825,159.5719794919869
59,HC0-SS0,HC0,SS0,2024-07-31,2024-09-02,23,open_short,close_normal,1.8347046588908336,2.378308458392784,-0.0036828443985846,3482.0,14065.0,3282.0,13570.0,1,2,10,5,21056.4,2881.202,13.68326019642484,False,2881.202,13.68326019642484,7697.06249171879,7472.4504301817
60,HC0-SS0,HC0,SS0,2024-10-23,2024-12-04,5,open_long,close_timeout,1.875556268156383,-2.2127067884344265,-1.979358213278637,3473.0,13520.0,3528.0,13005.0,1,2,10,5,20391.6,-5767.052,-28.2815080719512,True,-3058.74,-15.0,6985.566411888412,6311.505682837884
61,HC0-SS0,HC0,SS0,2025-03-10,2025-03-25,11,open_short,close_normal,1.9740294928916355,2.5612654504728947,0.2785114914554023,3352.0,13475.0,3383.0,13370.0,1,2,10,5,20192.4,1292.84,6.402606921415978,False,1292.84,6.402606921415978,6878.975228305912,6619.214934260852
62,HC0-SS0,HC0,SS0,2025-06-23,2025-08-04,30,open_long,close_timeout,2.07168768393319,-2.2398533491918733,-1.4452942303410858,3109.0,12405.0,3420.0,12910.0,1,2,10,5,18616.8,1876.312,10.078595677022903,False,1876.312,10.078595677022903,5942.907927599913,5681.902774867356
63,RB0-SF0,RB0,SF0,2024-08-06,2024-08-08,2,open_short,close_normal,1.9478845164821683,2.59350308473256,-0.0483748695359566,3309.0,7014.0,3251.0,6512.0,1,2,10,5,12387.6,4399.828,35.518001872840586,False,4399.828,35.518001872840586,580.2937885099509,150.37315460761238
