交易ID,配对,品种X,品种Y,入场日期,原始出场日期,原始持仓天数,触发止损,实际出场日期,实际持仓天数,信号类型,退出原因,Beta系数,入场Z_Score,出场Z_Score,入场价格_X,入场价格_Y,出场价格_X,出场价格_Y,手数_X,手数_Y,合约乘数_X,合约乘数_Y,保证金,保证金率%,原始毛盈亏,原始手续费,原始净盈亏,原始收益率%,止损后净盈亏,止损后收益率%,止损保护金额,入场价差,出场价差,价差变动,入场月份,出场月份
51,ZN0-SF0,ZN0,SF0,2025-01-15,2025-01-21,6,False,2025-01-21,6,open_short,close_normal,0.2696,2.2776,-0.0836,23610.0000,6490.0000,24185.0000,6468.0000,7,2,5,5,106950.0000,12.0000,20345.0000,360.4810,19984.5190,18.6859,19984.5190,18.6859,0.0000,134.8634,-0.9892,-135.8527,2025-01,2025-01
52,ZN0-SF0,ZN0,SF0,2025-04-08,2025-04-16,8,False,2025-04-16,8,open_short,close_normal,0.2610,2.5445,-0.1653,22100.0000,5860.0000,21905.0000,5692.0000,4,1,5,5,56556.0000,12.0000,-3060.0000,187.5720,-3247.5720,-5.7422,-3247.5720,-5.7422,0.0000,102.2014,-7.4640,-109.6654,2025-04,2025-04
53,ZN0-SF0,ZN0,SF0,2025-05-29,2025-06-06,8,False,2025-06-06,8,open_long,close_normal,0.2378,-3.4235,-0.1822,22480.0000,5232.0000,22400.0000,5098.0000,4,1,5,5,57091.2000,12.0000,930.0000,189.8500,740.1500,1.2964,740.1500,1.2964,0.0000,-122.3680,-14.1258,108.2422,2025-05,2025-06
54,ZN0-SF0,ZN0,SF0,2025-06-09,2025-06-11,2,False,2025-06-11,2,open_short,close_normal,0.2327,2.2919,-0.0623,21925.0000,5168.0000,22125.0000,5190.0000,4,1,5,5,55720.8000,12.0000,3890.0000,186.5580,3703.4420,6.6464,3703.4420,6.6464,0.0000,75.9292,-7.4728,-83.4020,2025-06,2025-06
55,ZN0-SF0,ZN0,SF0,2025-07-22,2025-07-30,8,False,2025-07-30,8,open_short,close_normal,0.2524,2.3913,-0.0653,22960.0000,5868.0000,22655.0000,6014.0000,4,1,5,5,58624.8000,12.0000,-6830.0000,194.3420,-7024.3420,-11.9819,-7024.3420,-11.9819,0.0000,82.1597,2.6704,-79.4893,2025-07,2025-07
56,ZN0-SF0,ZN0,SF0,2025-07-31,2025-08-05,5,False,2025-08-05,5,open_long,close_normal,0.2600,-2.5734,-0.2369,22330.0000,5702.0000,22395.0000,5710.0000,4,1,5,5,57013.2000,12.0000,-1260.0000,190.3120,-1450.3120,-2.5438,-1450.3120,-2.5438,0.0000,-114.1691,-9.9350,104.2341,2025-07,2025-08
57,HC0-SM0,HC0,SM0,2024-12-26,2025-02-17,53,False,2025-02-17,53,open_long,close_timeout,1.4768,-2.2967,-1.0064,3425.0000,6116.0000,3409.0000,6392.0000,2,3,10,5,19228.8000,12.0000,4460.0000,64.8600,4395.1400,22.8571,4395.1400,22.8571,0.0000,1047.6483,1077.2756,29.6273,2024-12,2025-02
58,HC0-SM0,HC0,SM0,2025-07-22,2025-08-14,23,False,2025-08-14,23,open_long,close_normal,1.7341,-2.3197,-0.2048,3474.0000,6018.0000,3435.0000,6138.0000,3,5,10,5,30560.4000,12.0000,4170.0000,102.2340,4067.7660,13.3106,4067.7660,13.3106,0.0000,-17.3235,159.5720,176.8955,2025-07,2025-08
59,HC0-SS0,HC0,SS0,2024-07-31,2024-09-02,33,False,2024-09-02,33,open_short,close_normal,1.8347,2.3783,-0.0037,3482.0000,14065.0000,3282.0000,13570.0000,1,2,10,5,21056.4000,12.0000,2950.0000,68.7980,2881.2020,13.6833,2881.2020,13.6833,0.0000,7697.0625,7472.4504,-224.6121,2024-07,2024-09
60,HC0-SS0,HC0,SS0,2024-10-23,2024-12-04,42,True,2024-10-23,21,open_long,stop_loss,1.8756,-2.2127,0.0000,3473.0000,13520.0000,3528.0000,13005.0000,1,2,10,5,20391.6000,12.0000,-5700.0000,67.0520,-5767.0520,-28.2815,-3058.7400,-15.0000,2708.3120,6985.5664,6985.5664,0.0000,2024-10,2024-10
