交易ID,配对,品种X,品种Y,入场日期,原始出场日期,原始持仓天数,触发止损,实际出场日期,实际持仓天数,信号类型,退出原因,Beta系数,入场Z_Score,出场Z_Score,入场价格_X,入场价格_Y,出场价格_X,出场价格_Y,手数_X,手数_Y,合约乘数_X,合约乘数_Y,保证金,保证金率%,原始毛盈亏,原始手续费,原始净盈亏,原始收益率%,止损后净盈亏,止损后收益率%,止损保护金额,入场价差,出场价差,价差变动,入场月份,出场月份
39,CU0-ZN0,CU0,ZN0,2024-08-23,2024-08-28,5,False,2024-08-28,5,open_short,close_normal,0.3224,2.218,0.114,73530.0,23985.0,74560.0,24030.0,3,1,5,5,146745.0,12.0,15225.0,492.285,14732.715,10.0397,14732.715,10.0397,0.0,301.4155,34.0994,-267.3161,2024-08,2024-08
40,CU0-ZN0,CU0,ZN0,2024-09-05,2024-09-11,6,True,2024-09-05,4,open_long,stop_loss,0.321,-2.2592,0.0,71490.0,22710.0,73300.0,22930.0,3,1,5,5,142308.0,12.0,-26050.0,480.01,-26530.01,-18.6427,-21346.2,-15.0,5183.81,-264.8566,-264.8566,0.0,2024-09,2024-09
41,CU0-ZN0,CU0,ZN0,2024-10-08,2024-10-09,1,False,2024-10-09,1,open_short,close_normal,0.3227,2.3081,-0.1148,77340.0,25270.0,77530.0,25055.0,3,1,5,5,154374.0,12.0,3925.0,514.935,3410.065,2.209,3410.065,2.209,0.0,336.87,5.5164,-331.3536,2024-10,2024-10
42,CU0-ZN0,CU0,ZN0,2024-10-24,2024-10-29,5,False,2024-10-29,5,open_short,close_normal,0.3315,2.6203,-0.2334,77030.0,25910.0,76470.0,25025.0,3,1,5,5,154200.0,12.0,-3975.0,511.435,-4486.435,-2.9095,-4486.435,-2.9095,0.0,403.2288,-8.1941,-411.4229,2024-10,2024-10
43,CU0-ZN0,CU0,ZN0,2025-01-06,2025-01-22,16,True,2025-01-06,10,open_long,stop_loss,0.3361,-2.3258,0.0,73570.0,24505.0,75550.0,24100.0,3,1,5,5,147129.0,12.0,-31725.0,495.965,-32220.965,-21.8998,-22069.35,-15.0,10151.615,-248.8848,-248.8848,0.0,2025-01,2025-01
44,CU0-ZN0,CU0,ZN0,2025-04-07,2025-04-08,1,False,2025-04-08,1,open_short,close_normal,0.302,4.006,0.0505,73670.0,22610.0,73330.0,22100.0,7,2,5,5,336546.0,12.0,-6800.0,1118.42,-7918.42,-2.3528,-7918.42,-2.3528,0.0,383.4587,-32.5327,-415.9914,2025-04,2025-04
45,CU0-ZN0,CU0,ZN0,2025-07-09,2025-07-14,5,False,2025-07-14,5,open_short,close_normal,0.2807,2.2059,-0.263,78430.0,22105.0,78370.0,22265.0,7,2,5,5,355932.0,12.0,-3700.0,1186.34,-4886.34,-1.3728,-4886.34,-1.3728,0.0,112.2574,-23.7763,-136.0338,2025-07,2025-07
46,PB0-SS0,PB0,SS0,2024-08-06,2024-09-19,44,True,2024-08-06,10,open_long,stop_loss,-0.2973,-2.3345,0.0,17200.0,13915.0,16555.0,13445.0,7,2,5,5,88938.0,12.0,-27275.0,291.005,-27566.005,-30.9946,-13340.7,-15.0,14225.305,19018.539,19018.539,0.0,2024-08,2024-08
47,PB0-SS0,PB0,SS0,2025-04-07,2025-05-22,45,False,2025-05-22,45,open_long,close_timeout,-0.0282,-2.8782,-1.1901,16645.0,12925.0,16700.0,12865.0,1,1,5,5,17742.0,12.0,-25.0,59.135,-84.135,-0.4742,-84.135,-0.4742,0.0,13379.2867,12824.4572,-554.8295,2025-04,2025-05
48,ZN0-SF0,ZN0,SF0,2024-08-05,2024-08-27,22,False,2024-08-27,22,open_short,close_normal,0.3048,3.0576,0.1688,22165.0,6986.0,23980.0,6400.0,7,2,5,5,101476.2,12.0,69385.0,349.787,69035.213,68.0309,69035.213,68.0309,0.0,240.5794,-5.8392,-246.4186,2024-08,2024-08
